Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,GARAGE_YEAR_OLD
1461,20,RH,80.0,11622,Pave,No,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,5,6,1961,1961,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,468.0,LwQ,144.0,270.0,882.0,GasA,TA,Y,SBrkr,896,0,0,896,0.0,0.0,1,0,2,1,TA,5,Typ,0,No,Attchd,Unf,1.0,730.0,TA,TA,Y,140,0,0,0,120,0,No,MnPrv,No,0,6,2010,WD,Normal,59
1462,20,RL,81.0,14267,Pave,No,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,108.0,TA,TA,CBlock,TA,TA,No,ALQ,923.0,Unf,0.0,406.0,1329.0,GasA,TA,Y,SBrkr,1329,0,0,1329,0.0,0.0,1,1,3,1,Gd,6,Typ,0,No,Attchd,Unf,1.0,312.0,TA,TA,Y,393,36,0,0,0,0,No,No,Gar2,12500,6,2010,WD,Normal,62
1463,60,RL,74.0,13830,Pave,No,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,5,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,791.0,Unf,0.0,137.0,928.0,GasA,Gd,Y,SBrkr,928,701,0,1629,0.0,0.0,2,1,3,1,TA,6,Typ,1,TA,Attchd,Fin,2.0,482.0,TA,TA,Y,212,34,0,0,0,0,No,MnPrv,No,0,3,2010,WD,Normal,23
1464,60,RL,78.0,9978,Pave,No,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,20.0,TA,TA,PConc,TA,TA,No,GLQ,602.0,Unf,0.0,324.0,926.0,GasA,Ex,Y,SBrkr,926,678,0,1604,0.0,0.0,2,1,3,1,Gd,7,Typ,1,Gd,Attchd,Fin,2.0,470.0,TA,TA,Y,360,36,0,0,0,0,No,No,No,0,6,2010,WD,Normal,22
1465,120,RL,43.0,5005,Pave,No,IR1,HLS,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1992,1992,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,Gd,TA,No,ALQ,263.0,Unf,0.0,1017.0,1280.0,GasA,Ex,Y,SBrkr,1280,0,0,1280,0.0,0.0,2,0,2,1,Gd,5,Typ,0,No,Attchd,RFn,2.0,506.0,TA,TA,Y,0,82,0,0,144,0,No,No,No,0,1,2010,WD,Normal,28
1466,60,RL,75.0,10000,Pave,No,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,763.0,763.0,GasA,Gd,Y,SBrkr,763,892,0,1655,0.0,0.0,2,1,3,1,TA,7,Typ,1,TA,Attchd,Fin,2.0,440.0,TA,TA,Y,157,84,0,0,0,0,No,No,No,0,4,2010,WD,Normal,27
1467,20,RL,68.58035714285714,7980,Pave,No,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,PConc,Gd,TA,No,ALQ,935.0,Unf,0.0,233.0,1168.0,GasA,Ex,Y,SBrkr,1187,0,0,1187,1.0,0.0,2,0,3,1,TA,6,Typ,0,No,Attchd,Fin,2.0,420.0,TA,TA,Y,483,21,0,0,0,0,No,GdPrv,Shed,500,3,2010,WD,Normal,28
1468,60,RL,63.0,8402,Pave,No,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,789.0,789.0,GasA,Gd,Y,SBrkr,789,676,0,1465,0.0,0.0,2,1,3,1,TA,7,Typ,1,Gd,Attchd,Fin,2.0,393.0,TA,TA,Y,0,75,0,0,0,0,No,No,No,0,5,2010,WD,Normal,22
1469,20,RL,85.0,10176,Pave,No,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,1990,1990,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,Gd,GLQ,637.0,Unf,0.0,663.0,1300.0,GasA,Gd,Y,SBrkr,1341,0,0,1341,1.0,0.0,1,1,2,1,Gd,5,Typ,1,Po,Attchd,Unf,2.0,506.0,TA,TA,Y,192,0,0,0,0,0,No,No,No,0,2,2010,WD,Normal,30
1470,20,RL,70.0,8400,Pave,No,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1970,1970,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,804.0,Rec,78.0,0.0,882.0,GasA,TA,Y,SBrkr,882,0,0,882,1.0,0.0,1,0,2,1,TA,4,Typ,0,No,Attchd,Fin,2.0,525.0,TA,TA,Y,240,0,0,0,0,0,No,MnPrv,No,0,4,2010,WD,Normal,50
1471,120,RH,26.0,5858,Pave,No,IR1,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,TwnhsE,1Story,7,5,1999,1999,Gable,CompShg,MetalSd,MetalSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,1051.0,BLQ,0.0,354.0,1405.0,GasA,Ex,Y,SBrkr,1337,0,0,1337,1.0,0.0,2,0,2,1,Gd,5,Typ,1,Fa,Attchd,Fin,2.0,511.0,TA,TA,Y,203,68,0,0,0,0,No,No,No,0,6,2010,WD,Normal,21
1472,160,RM,21.0,1680,Pave,No,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,504.0,TA,TA,CBlock,TA,TA,No,Rec,156.0,Unf,0.0,327.0,483.0,GasA,TA,Y,SBrkr,483,504,0,987,0.0,0.0,1,1,2,1,TA,5,Typ,0,No,Detchd,Unf,1.0,264.0,TA,TA,Y,275,0,0,0,0,0,No,No,No,0,2,2010,COD,Normal,49
1473,160,RM,21.0,1680,Pave,No,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492.0,TA,TA,CBlock,TA,TA,No,Rec,300.0,Unf,0.0,225.0,525.0,GasA,TA,Y,SBrkr,525,567,0,1092,0.0,0.0,1,1,3,1,TA,6,Typ,0,No,Detchd,Unf,1.0,320.0,TA,TA,Y,0,0,0,0,0,0,No,No,No,0,3,2010,WD,Normal,23
1474,160,RL,24.0,2280,Pave,No,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,514.0,Unf,0.0,341.0,855.0,GasA,TA,Y,SBrkr,855,601,0,1456,0.0,0.0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,Unf,2.0,440.0,TA,TA,Y,173,0,0,0,0,0,No,No,No,0,6,2010,WD,Normal,45
1475,120,RL,24.0,2280,Pave,No,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,1Story,7,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,None,0.0,TA,TA,CBlock,Gd,TA,No,Unf,0.0,Unf,0.0,836.0,836.0,GasA,Ex,Y,SBrkr,836,0,0,836,0.0,0.0,1,0,2,1,TA,4,Typ,0,No,Attchd,Unf,1.0,308.0,TA,TA,Y,0,30,0,0,0,0,No,No,No,0,6,2010,WD,Normal,45
1476,60,RL,102.0,12858,Pave,No,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,162.0,Ex,TA,PConc,Ex,TA,No,Unf,0.0,Unf,0.0,1590.0,1590.0,GasA,Ex,Y,SBrkr,1627,707,0,2334,0.0,0.0,2,1,3,1,Ex,10,Typ,1,Gd,Attchd,Fin,3.0,751.0,TA,TA,Y,144,133,0,0,0,0,No,No,No,0,1,2010,New,Partial,11
1477,20,RL,94.0,12883,Pave,No,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,256.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1544.0,1544.0,GasA,Ex,Y,SBrkr,1544,0,0,1544,0.0,0.0,2,0,3,1,Gd,7,Typ,0,No,Attchd,RFn,3.0,868.0,TA,TA,Y,0,35,0,0,0,0,No,No,No,0,6,2010,New,Partial,11
1478,20,RL,90.0,11520,Pave,No,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,PosN,Norm,1Fam,1Story,9,5,2005,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,615.0,Gd,TA,PConc,Ex,TA,No,GLQ,110.0,Unf,0.0,1588.0,1698.0,GasA,Ex,Y,SBrkr,1698,0,0,1698,0.0,0.0,2,0,3,1,Ex,7,Typ,1,Gd,Attchd,Fin,3.0,730.0,TA,TA,Y,192,74,0,0,0,0,No,No,No,0,6,2010,WD,Normal,15
1479,20,RL,79.0,14122,Pave,No,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2005,2006,Hip,CompShg,CemntBd,CmentBd,BrkFace,240.0,Gd,TA,PConc,Ex,TA,No,GLQ,28.0,Unf,0.0,1794.0,1822.0,GasA,Ex,Y,SBrkr,1822,0,0,1822,0.0,0.0,2,0,3,1,Ex,8,Typ,1,Gd,Attchd,RFn,3.0,678.0,TA,TA,Y,0,119,0,0,0,0,No,No,No,0,2,2010,WD,Normal,15
1480,20,RL,110.0,14300,Pave,No,Reg,HLS,AllPub,Inside,Mod,NridgHt,Norm,Norm,1Fam,1Story,9,5,2003,2004,Hip,CompShg,VinylSd,VinylSd,BrkFace,1095.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1373.0,Unf,0.0,1473.0,2846.0,GasA,Ex,Y,SBrkr,2696,0,0,2696,1.0,0.0,2,1,3,1,Ex,10,Typ,2,Gd,Attchd,Fin,3.0,958.0,TA,TA,Y,220,150,0,0,0,0,No,No,No,0,6,2010,WD,Normal,17
1481,60,RL,105.0,13650,Pave,No,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,232.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,578.0,Unf,0.0,1093.0,1671.0,GasA,Ex,Y,SBrkr,1687,563,0,2250,1.0,0.0,2,1,3,1,Gd,7,Typ,1,Ex,Attchd,Fin,3.0,756.0,TA,TA,Y,238,130,0,0,0,0,No,No,No,0,6,2010,WD,Normal,18
1482,120,RL,41.0,7132,Pave,No,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,178.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,24.0,Unf,0.0,1346.0,1370.0,GasA,Ex,Y,SBrkr,1370,0,0,1370,0.0,0.0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,RFn,2.0,484.0,TA,TA,Y,120,49,0,0,0,0,No,No,No,0,4,2010,WD,Normal,14
1483,20,RL,100.0,18494,Pave,No,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1324.0,1324.0,GasA,Ex,Y,SBrkr,1324,0,0,1324,0.0,0.0,2,0,3,1,Gd,6,Typ,0,No,Attchd,Fin,2.0,430.0,TA,TA,Y,36,23,0,0,0,0,No,No,No,0,1,2010,WD,Normal,15
1484,120,RL,43.0,3203,Pave,No,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,14.0,Gd,TA,PConc,Gd,TA,Av,GLQ,16.0,Unf,0.0,1129.0,1145.0,GasA,Ex,Y,SBrkr,1145,0,0,1145,0.0,0.0,2,0,2,1,Gd,6,Typ,0,No,Attchd,Fin,2.0,437.0,TA,TA,Y,100,116,0,0,0,0,No,No,No,0,1,2010,WD,Normal,14
1485,80,RL,67.0,13300,Pave,No,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,326.0,Unf,0.0,58.0,384.0,GasA,Ex,Y,SBrkr,744,630,0,1374,1.0,0.0,2,1,3,1,Gd,7,Typ,1,Gd,BuiltIn,Fin,2.0,400.0,TA,TA,Y,100,0,0,0,0,0,No,No,No,0,6,2010,WD,Normal,16
1486,60,RL,63.0,8577,Pave,No,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,847.0,847.0,GasA,Ex,Y,SBrkr,847,886,0,1733,0.0,0.0,2,1,3,1,Gd,7,Typ,1,Gd,BuiltIn,Fin,2.0,433.0,TA,TA,Y,144,48,0,0,0,0,No,No,No,0,4,2010,WD,Normal,16
1487,60,RL,60.0,17433,Pave,No,IR2,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1998,1998,Hip,CompShg,VinylSd,VinylSd,BrkFace,114.0,Gd,TA,PConc,Ex,TA,No,Unf,0.0,Unf,0.0,1629.0,1629.0,GasA,Ex,Y,SBrkr,1645,830,0,2475,0.0,0.0,2,1,4,1,Gd,7,Typ,1,TA,Attchd,Fin,3.0,962.0,TA,TA,Y,23,172,0,0,256,0,No,No,No,0,1,2010,WD,Normal,22
1488,20,RL,73.0,8987,Pave,No,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,226.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1595.0,1595.0,GasA,Ex,Y,SBrkr,1595,0,0,1595,0.0,0.0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,RFn,3.0,880.0,TA,TA,Y,144,0,0,0,0,0,No,No,No,0,5,2010,WD,Normal,15
1489,20,FV,92.0,9215,Pave,No,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2009,2010,Hip,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1218.0,1218.0,GasA,Ex,Y,SBrkr,1218,0,0,1218,0.0,0.0,2,0,2,1,Gd,4,Typ,0,No,Attchd,RFn,2.0,676.0,TA,TA,Y,0,136,0,0,0,0,No,No,No,0,4,2010,New,Partial,11
1490,20,FV,84.0,10440,Pave,No,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,1414.0,Unf,0.0,54.0,1468.0,GasA,Ex,Y,SBrkr,1468,0,0,1468,1.0,0.0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,Fin,2.0,528.0,TA,TA,Y,0,102,0,0,216,0,No,No,No,0,5,2010,WD,Normal,15
1491,60,RL,70.0,11920,Pave,No,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,122.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,831.0,831.0,GasA,Ex,Y,SBrkr,831,828,0,1659,0.0,0.0,2,1,3,1,Gd,8,Typ,0,No,Attchd,RFn,2.0,484.0,TA,TA,Y,144,68,0,0,0,0,No,No,No,0,4,2010,WD,Normal,16
1492,30,RH,70.0,9800,Pave,No,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Feedr,Norm,1Fam,1Story,5,5,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,816.0,816.0,GasA,TA,N,FuseA,1012,0,0,1012,0.0,0.0,1,0,2,1,TA,5,Typ,0,No,Detchd,Unf,1.0,429.0,TA,TA,Y,121,0,80,0,0,0,No,No,No,0,4,2010,WD,Normal,100
1493,20,RL,39.0,15410,Pave,No,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRNe,Norm,1Fam,1Story,6,6,1974,2002,Hip,CompShg,Plywood,Plywood,BrkCmn,250.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,126.0,GLQ,859.0,223.0,1208.0,GasA,Ex,Y,SBrkr,1494,0,0,1494,1.0,0.0,2,0,3,1,TA,7,Typ,2,Fa,Attchd,Fin,2.0,461.0,TA,TA,Y,296,0,186,0,0,0,No,GdPrv,No,0,4,2010,WD,Abnorml,46
1494,60,RL,85.0,13143,Pave,No,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1993,1993,Gable,CompShg,HdBoard,ImStucc,BrkFace,504.0,Gd,TA,PConc,Gd,TA,No,LwQ,250.0,GLQ,981.0,0.0,1231.0,GasA,Ex,Y,SBrkr,1251,1098,0,2349,1.0,0.0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,RFn,3.0,762.0,TA,TA,Y,32,130,0,0,0,0,No,No,No,0,6,2010,WD,Normal,27
1495,60,RL,88.0,11134,Pave,No,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1992,1993,Gable,CompShg,HdBoard,HdBoard,BrkFace,180.0,Gd,TA,PConc,Gd,TA,No,GLQ,1129.0,Unf,0.0,261.0,1390.0,GasA,Ex,Y,SBrkr,1402,823,0,2225,1.0,0.0,2,1,4,1,Gd,7,Typ,1,TA,Attchd,RFn,3.0,713.0,TA,TA,Y,198,30,0,0,0,0,No,No,No,0,6,2010,WD,Normal,28
1496,120,FV,25.0,4835,Pave,No,IR1,Lvl,AllPub,CulDSac,Gtl,Somerst,Norm,Norm,TwnhsE,1Story,7,5,2004,2005,Gable,CompShg,MetalSd,MetalSd,None,0.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1298.0,Unf,0.0,190.0,1488.0,GasA,Ex,Y,SBrkr,1488,0,0,1488,1.0,0.0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,Fin,2.0,506.0,TA,TA,Y,168,50,0,0,0,0,No,No,No,0,3,2010,WD,Normal,16
1497,160,FV,39.0,3515,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,840.0,840.0,GasA,Ex,Y,SBrkr,840,840,0,1680,0.0,0.0,2,1,2,1,Gd,3,Typ,0,No,Attchd,RFn,2.0,588.0,TA,TA,Y,0,111,0,0,0,0,No,No,No,0,1,2010,WD,Normal,16
1498,160,FV,30.0,3215,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2004,2004,Gable,CompShg,MetalSd,MetalSd,BrkFace,120.0,Gd,TA,PConc,Gd,TA,Av,GLQ,280.0,Unf,0.0,320.0,600.0,GasA,Ex,Y,SBrkr,600,600,0,1200,0.0,0.0,2,1,2,1,Gd,4,Typ,0,No,Detchd,RFn,2.0,480.0,TA,TA,Y,0,172,0,0,0,0,No,No,No,0,4,2010,ConLD,Normal,16
1499,160,FV,24.0,2544,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,7,5,2004,2005,Gable,CompShg,MetalSd,MetalSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,368.0,ALQ,42.0,190.0,600.0,GasA,Ex,Y,SBrkr,600,600,0,1200,1.0,0.0,2,1,2,1,Gd,4,Typ,0,No,Detchd,RFn,2.0,480.0,TA,TA,Y,0,172,0,0,0,0,No,No,No,0,2,2010,WD,Normal,16
1500,160,FV,24.0,2544,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,216.0,Gd,TA,PConc,Gd,TA,No,GLQ,376.0,Unf,0.0,224.0,600.0,GasA,Ex,Y,SBrkr,600,636,0,1236,1.0,0.0,2,1,2,1,Gd,4,Typ,0,No,Detchd,RFn,2.0,480.0,TA,TA,Y,0,166,0,0,0,0,No,No,No,0,5,2010,WD,Normal,15
1501,160,FV,68.58035714285714,2980,Pave,No,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,1159.0,Gd,TA,PConc,Gd,TA,No,GLQ,466.0,Unf,0.0,290.0,756.0,GasA,Ex,Y,SBrkr,756,756,0,1512,1.0,0.0,2,1,2,1,Gd,5,Typ,0,No,Detchd,Unf,2.0,440.0,TA,TA,Y,0,32,0,0,0,0,No,No,No,0,5,2010,WD,Normal,20
1502,160,FV,68.58035714285714,2403,Pave,No,IR1,Lvl,AllPub,FR2,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,244.0,Unf,0.0,286.0,530.0,GasA,Ex,Y,SBrkr,530,550,0,1080,0.0,0.0,2,1,2,1,Gd,4,Typ,0,No,Attchd,RFn,2.0,496.0,TA,TA,Y,0,50,0,0,0,0,No,No,No,0,6,2010,WD,Normal,17
1503,20,FV,57.0,12853,Pave,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2010,2010,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Ex,Po,No,GLQ,1032.0,Unf,0.0,610.0,1642.0,GasA,Ex,Y,SBrkr,1418,0,0,1418,1.0,0.0,1,1,1,1,Gd,6,Typ,1,Gd,Attchd,RFn,3.0,852.0,TA,TA,Y,160,192,0,224,0,0,No,No,No,0,4,2010,New,Partial,10
1504,60,FV,68.0,7379,Pave,No,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,484.0,Unf,0.0,491.0,975.0,GasA,Ex,Y,SBrkr,975,873,0,1848,1.0,0.0,2,1,3,1,Gd,7,Typ,1,TA,Attchd,RFn,2.0,592.0,TA,TA,Y,280,184,0,0,0,0,No,No,No,0,4,2010,WD,Normal,20
1505,20,FV,80.0,8000,Pave,No,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,833.0,Unf,0.0,659.0,1492.0,GasA,Ex,Y,SBrkr,1492,0,0,1492,1.0,0.0,2,0,3,1,Gd,6,Typ,1,Gd,Attchd,RFn,2.0,596.0,TA,TA,Y,277,137,0,0,0,0,No,No,No,0,4,2010,WD,Normal,18
1506,20,RL,68.58035714285714,10456,Pave,No,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1967,1967,Hip,CompShg,HdBoard,HdBoard,BrkFace,120.0,TA,TA,CBlock,TA,TA,No,GLQ,506.0,Unf,0.0,1323.0,1829.0,GasA,Gd,Y,SBrkr,1829,0,0,1829,1.0,0.0,2,0,4,1,TA,8,Typ,0,No,Attchd,RFn,2.0,535.0,TA,TA,Y,0,76,0,0,0,0,No,No,No,0,5,2010,WD,Normal,53
